parkCode,parkName,county,state,GEOID,year,month,temp,tmax,tmin,pdsi,precip
acad,Acadia National Park,Hancock,ME,23009,1994,11,49.9,59.4,40.3,2.33,8.77
acad,Acadia National Park,Hancock,ME,23009,1994,12,40.8,50.4,31.2,1.97,2.16
acad,Acadia National Park,Hancock,ME,23009,1995,1,34.8,44.8,24.8,2.51,4.17
acad,Acadia National Park,Hancock,ME,23009,1995,2,40.1,52.2,28.1,1.84,1.3
acad,Acadia National Park,Hancock,ME,23009,1995,3,47.9,59.2,36.5,1.26,2.49
acad,Acadia National Park,Hancock,ME,23009,1995,4,55.4,67.6,43.3,2.26,7.83
acad,Acadia National Park,Hancock,ME,23009,1995,5,62.0,70.9,53.0,2.45,6.77
acad,Acadia National Park,Hancock,ME,23009,1995,6,70.2,80.6,59.9,3.31,8.67
acad,Acadia National Park,Hancock,ME,23009,1995,7,77.2,88.4,65.9,-0.22,2.25
acad,Acadia National Park,Hancock,ME,23009,1995,8,80.5,92.8,68.2,-1.05,0.77
acad,Acadia National Park,Hancock,ME,23009,1995,9,65.9,76.4,55.4,-1.34,2.93
acad,Acadia National Park,Hancock,ME,23009,1995,10,58.7,73.2,44.2,-1.89,1.8
acad,Acadia National Park,Hancock,ME,23009,1995,11,43.6,56.2,31.0,-2.52,1.35
acad,Acadia National Park,Hancock,ME,23009,1995,12,36.6,44.7,28.5,-2.49,3.33
acad,Acadia National Park,Hancock,ME,23009,1996,1,31.6,42.5,20.8,-2.15,2.88
acad,Acadia National Park,Hancock,ME,23009,1996,2,39.5,52.3,26.7,-2.6,0.47
acad,Acadia National Park,Hancock,ME,23009,1996,3,40.5,52.4,28.5,-2.58,2.35
acad,Acadia National Park,Hancock,ME,23009,1996,4,54.1,67.5,40.6,-2.44,3.64
acad,Acadia National Park,Hancock,ME,23009,1996,5,68.0,78.1,58.0,-2.71,3.53
acad,Acadia National Park,Hancock,ME,23009,1996,6,72.5,83.3,61.8,-2.61,4.12
acad,Acadia National Park,Hancock,ME,23009,1996,7,75.5,86.0,65.0,-2.38,3.01
acad,Acadia National Park,Hancock,ME,23009,1996,8,75.4,87.1,63.6,-2.52,1.98
acad,Acadia National Park,Hancock,ME,23009,1996,9,66.4,78.7,54.0,1.12,8.66
acad,Acadia National Park,Hancock,ME,23009,1996,10,58.1,70.3,46.0,1.03,2.99
acad,Acadia National Park,Hancock,ME,23009,1996,11,41.0,49.8,32.2,2.59,8.74
acad,Acadia National Park,Hancock,ME,23009,1996,12,39.5,51.0,28.1,1.88,1.03
acad,Acadia National Park,Hancock,ME,23009,1997,1,31.5,42.0,21.0,1.37,0.92
acad,Acadia National Park,Hancock,ME,23009,1997,2,41.6,49.9,33.3,1.85,4.48
acad,Acadia National Park,Hancock,ME,23009,1997,3,49.9,63.7,36.1,1.58,3.78
acad,Acadia National Park,Hancock,ME,23009,1997,4,51.9,64.1,39.6,0.99,2.39
acad,Acadia National Park,Hancock,ME,23009,1997,5,61.4,74.2,48.6,0.99,5.28
acad,Acadia National Park,Hancock,ME,23009,1997,6,70.6,81.7,59.6,1.03,4.96
acad,Acadia National Park,Hancock,ME,23009,1997,7,77.7,88.9,66.5,1.14,3.82
acad,Acadia National Park,Hancock,ME,23009,1997,8,73.2,83.8,62.5,1.96,6.0
acad,Acadia National Park,Hancock,ME,23009,1997,9,68.8,79.9,57.7,2.2,4.73
acad,Acadia National Park,Hancock,ME,23009,1997,10,57.9,69.7,46.1,2.07,3.21
acad,Acadia National Park,Hancock,ME,23009,1997,11,44.0,53.1,34.8,1.7,2.08
acad,Acadia National Park,Hancock,ME,23009,1997,12,35.7,43.4,28.0,1.79,3.12
acad,Acadia National Park,Hancock,ME,23009,1998,1,39.2,47.9,30.6,2.39,4.52
acad,Acadia National Park,Hancock,ME,23009,1998,2,41.8,51.5,32.1,2.25,2.96
acad,Acadia National Park,Hancock,ME,23009,1998,3,43.7,52.4,35.0,2.77,6.07
acad,Acadia National Park,Hancock,ME,23009,1998,4,54.9,67.2,42.6,-0.61,2.14
acad,Acadia National Park,Hancock,ME,23009,1998,5,69.3,80.9,57.7,-0.94,4.34
acad,Acadia National Park,Hancock,ME,23009,1998,6,75.4,86.2,64.6,-1.39,3.0
acad,Acadia National Park,Hancock,ME,23009,1998,7,80.6,92.0,69.3,-1.55,3.09
acad,Acadia National Park,Hancock,ME,23009,1998,8,78.0,89.6,66.3,-1.68,3.12
acad,Acadia National Park,Hancock,ME,23009,1998,9,75.6,87.1,64.2,-1.58,5.22
acad,Acadia National Park,Hancock,ME,23009,1998,10,58.9,70.9,46.9,-1.37,4.46
acad,Acadia National Park,Hancock,ME,23009,1998,11,50.4,60.3,40.5,-1.21,4.18
acad,Acadia National Park,Hancock,ME,23009,1998,12,38.9,49.4,28.4,-1.31,1.84
acad,Acadia National Park,Hancock,ME,23009,1999,1,36.1,45.7,26.4,-1.12,2.17
acad,Acadia National Park,Hancock,ME,23009,1999,2,45.9,57.0,34.7,-1.35,1.87
acad,Acadia National Park,Hancock,ME,23009,1999,3,44.8,56.4,33.3,0.31,4.65
acad,Acadia National Park,Hancock,ME,23009,1999,4,58.4,68.4,48.4,0.69,5.89
acad,Acadia National Park,Hancock,ME,23009,1999,5,63.5,75.5,51.5,1.09,7.18
acad,Acadia National Park,Hancock,ME,23009,1999,6,71.8,81.4,62.3,1.61,7.03
acad,Acadia National Park,Hancock,ME,23009,1999,7,78.9,89.3,68.6,-0.38,1.87
acad,Acadia National Park,Hancock,ME,23009,1999,8,77.9,91.6,64.1,-0.62,2.75
acad,Acadia National Park,Hancock,ME,23009,1999,9,66.2,78.5,54.0,-1.01,2.37
acad,Acadia National Park,Hancock,ME,23009,1999,10,58.6,73.6,43.7,-1.59,1.59
acad,Acadia National Park,Hancock,ME,23009,1999,11,54.3,67.6,41.0,-2.29,1.9
acad,Acadia National Park,Hancock,ME,23009,1999,12,40.4,52.0,28.8,-1.71,5.25
acad,Acadia National Park,Hancock,ME,23009,2000,1,37.3,48.4,26.2,-1.71,1.72
acad,Acadia National Park,Hancock,ME,23009,2000,2,45.6,57.5,33.6,-1.94,1.72
acad,Acadia National Park,Hancock,ME,23009,2000,3,50.6,61.6,39.6,-1.9,3.58
acad,Acadia National Park,Hancock,ME,23009,2000,4,55.5,68.5,42.4,-2.58,1.34
acad,Acadia National Park,Hancock,ME,23009,2000,5,67.2,78.0,56.4,-2.38,5.71
acad,Acadia National Park,Hancock,ME,23009,2000,6,70.7,80.1,61.4,1.26,9.31
acad,Acadia National Park,Hancock,ME,23009,2000,7,76.7,86.6,66.8,1.56,4.46
acad,Acadia National Park,Hancock,ME,23009,2000,8,81.1,93.3,68.9,-0.83,0.05
acad,Acadia National Park,Hancock,ME,23009,2000,9,70.6,85.9,55.3,-1.19,3.34
acad,Acadia National Park,Hancock,ME,23009,2000,10,61.1,72.7,49.5,-1.69,2.42
acad,Acadia National Park,Hancock,ME,23009,2000,11,41.4,50.9,31.9,-1.45,4.53
acad,Acadia National Park,Hancock,ME,23009,2000,12,25.4,34.5,16.4,-1.55,2.18
acad,Acadia National Park,Hancock,ME,23009,2001,1,32.3,41.7,23.0,-1.44,1.9
acad,Acadia National Park,Hancock,ME,23009,2001,2,39.4,50.2,28.7,1.0,5.47
acad,Acadia National Park,Hancock,ME,23009,2001,3,43.0,53.9,32.2,-0.74,0.85
acad,Acadia National Park,Hancock,ME,23009,2001,4,61.8,73.2,50.4,-1.79,1.37
acad,Acadia National Park,Hancock,ME,23009,2001,5,66.1,77.3,54.8,-1.69,5.78
acad,Acadia National Park,Hancock,ME,23009,2001,6,72.6,83.2,62.0,-1.34,5.36
acad,Acadia National Park,Hancock,ME,23009,2001,7,80.0,90.0,69.8,-1.11,3.67
acad,Acadia National Park,Hancock,ME,23009,2001,8,78.3,90.2,66.3,-1.48,1.53
acad,Acadia National Park,Hancock,ME,23009,2001,9,67.6,80.0,55.1,-1.55,3.47
acad,Acadia National Park,Hancock,ME,23009,2001,10,57.2,69.7,44.6,0.24,5.05
acad,Acadia National Park,Hancock,ME,23009,2001,11,51.8,63.0,40.6,0.19,3.94
acad,Acadia National Park,Hancock,ME,23009,2001,12,40.6,50.8,30.3,0.67,4.11
acad,Acadia National Park,Hancock,ME,23009,2002,1,37.3,48.4,26.2,0.82,2.74
acad,Acadia National Park,Hancock,ME,23009,2002,2,38.3,49.5,27.0,0.46,1.56
acad,Acadia National Park,Hancock,ME,23009,2002,3,42.6,54.2,31.0,0.54,3.84
acad,Acadia National Park,Hancock,ME,23009,2002,4,59.8,71.3,48.2,0.38,4.4
acad,Acadia National Park,Hancock,ME,23009,2002,5,62.6,73.1,52.2,1.71,10.95
acad,Acadia National Park,Hancock,ME,23009,2002,6,73.4,84.0,62.8,-0.25,3.85
acad,Acadia National Park,Hancock,ME,23009,2002,7,77.4,87.7,67.1,-0.34,2.82
acad,Acadia National Park,Hancock,ME,23009,2002,8,77.3,88.5,66.1,-0.71,2.22
acad,Acadia National Park,Hancock,ME,23009,2002,9,71.5,84.7,58.2,-1.62,0.95
acad,Acadia National Park,Hancock,ME,23009,2002,10,56.0,66.0,46.1,-1.66,3.43
acad,Acadia National Park,Hancock,ME,23009,2002,11,44.2,55.2,33.2,-2.39,0.63
acad,Acadia National Park,Hancock,ME,23009,2002,12,37.8,47.5,28.0,-2.14,3.87
acad,Acadia National Park,Hancock,ME,23009,2003,1,31.4,41.9,20.9,-2.53,0.43
acad,Acadia National Park,Hancock,ME,23009,2003,2,35.7,45.0,26.3,-1.99,3.55
acad,Acadia National Park,Hancock,ME,23009,2003,3,46.8,58.4,35.2,-2.05,2.84
acad,Acadia National Park,Hancock,ME,23009,2003,4,58.2,70.3,46.0,-2.52,2.31
acad,Acadia National Park,Hancock,ME,23009,2003,5,64.8,75.8,53.8,-2.41,4.75
acad,Acadia National Park,Hancock,ME,23009,2003,6,69.5,80.0,59.0,-2.33,3.62
acad,Acadia National Park,Hancock,ME,23009,2003,7,78.2,88.6,67.8,0.34,4.33
acad,Acadia National Park,Hancock,ME,23009,2003,8,79.3,91.1,67.4,0.09,2.55
acad,Acadia National Park,Hancock,ME,23009,2003,9,66.1,77.4,54.7,0.33,4.95
acad,Acadia National Park,Hancock,ME,23009,2003,10,58.8,71.0,46.7,0.05,2.73
acad,Acadia National Park,Hancock,ME,23009,2003,11,49.3,59.0,39.5,0.16,4.27
acad,Acadia National Park,Hancock,ME,23009,2003,12,38.9,48.8,28.9,0.39,3.22
acad,Acadia National Park,Hancock,ME,23009,2004,1,36.3,46.2,26.4,0.63,2.86
acad,Acadia National Park,Hancock,ME,23009,2004,2,36.5,47.8,25.2,0.04,0.76
acad,Acadia National Park,Hancock,ME,23009,2004,3,50.9,62.4,39.5,0.54,5.92
acad,Acadia National Park,Hancock,ME,23009,2004,4,56.9,68.0,45.8,1.18,6.59
acad,Acadia National Park,Hancock,ME,23009,2004,5,68.0,77.9,58.1,-0.23,4.81
acad,Acadia National Park,Hancock,ME,23009,2004,6,71.6,81.2,62.0,-0.71,2.63
acad,Acadia National Park,Hancock,ME,23009,2004,7,74.0,83.4,64.5,1.41,8.0
acad,Acadia National Park,Hancock,ME,23009,2004,8,72.0,82.8,61.2,0.03,2.11
acad,Acadia National Park,Hancock,ME,23009,2004,9,69.2,83.3,55.1,-0.73,0.46
acad,Acadia National Park,Hancock,ME,23009,2004,10,60.8,71.5,50.2,-0.68,4.2
acad,Acadia National Park,Hancock,ME,23009,2004,11,49.9,58.5,41.3,1.35,9.01
acad,Acadia National Park,Hancock,ME,23009,2004,12,38.2,49.4,26.9,0.91,1.42
acad,Acadia National Park,Hancock,ME,23009,2005,1,39.3,48.6,30.0,2.41,6.99
acad,Acadia National Park,Hancock,ME,23009,2005,2,43.3,53.1,33.5,-0.08,2.49
acad,Acadia National Park,Hancock,ME,23009,2005,3,45.0,56.9,33.0,-0.53,2.0
acad,Acadia National Park,Hancock,ME,23009,2005,4,57.0,68.9,45.2,-0.79,3.35
acad,Acadia National Park,Hancock,ME,23009,2005,5,63.5,75.8,51.1,-1.11,3.38
acad,Acadia National Park,Hancock,ME,23009,2005,6,74.3,85.6,63.1,-1.49,3.04
acad,Acadia National Park,Hancock,ME,23009,2005,7,77.6,90.0,65.3,-1.56,2.86
acad,Acadia National Park,Hancock,ME,23009,2005,8,79.3,90.5,68.1,-1.78,2.73
acad,Acadia National Park,Hancock,ME,23009,2005,9,74.3,86.8,61.7,-2.11,3.32
acad,Acadia National Park,Hancock,ME,23009,2005,10,58.9,71.9,45.9,-2.84,0.71
acad,Acadia National Park,Hancock,ME,23009,2005,11,49.8,62.0,37.5,-3.09,2.85
acad,Acadia National Park,Hancock,ME,23009,2005,12,34.8,45.0,24.5,-3.8,0.36
acad,Acadia National Park,Hancock,ME,23009,2006,1,45.0,57.2,32.8,-4.16,1.51
acad,Acadia National Park,Hancock,ME,23009,2006,2,37.4,49.7,25.0,-4.83,0.63
acad,Acadia National Park,Hancock,ME,23009,2006,3,49.2,61.2,37.1,-5.04,2.74
acad,Acadia National Park,Hancock,ME,23009,2006,4,63.1,75.2,51.0,-4.35,5.97
acad,Acadia National Park,Hancock,ME,23009,2006,5,66.6,76.4,56.7,-3.75,6.28
acad,Acadia National Park,Hancock,ME,23009,2006,6,72.5,83.7,61.3,-3.95,2.41
acad,Acadia National Park,Hancock,ME,23009,2006,7,79.6,92.0,67.1,-3.81,2.97
acad,Acadia National Park,Hancock,ME,23009,2006,8,80.3,90.9,69.7,-3.48,4.2
acad,Acadia National Park,Hancock,ME,23009,2006,9,65.9,78.5,53.3,-3.48,2.78
acad,Acadia National Park,Hancock,ME,23009,2006,10,56.7,68.7,44.7,-3.73,1.75
acad,Acadia National Park,Hancock,ME,23009,2006,11,49.4,61.0,37.8,-3.45,4.26
acad,Acadia National Park,Hancock,ME,23009,2006,12,40.6,50.5,30.8,0.14,3.8
acad,Acadia National Park,Hancock,ME,23009,2007,1,34.0,42.9,25.1,0.88,4.2
acad,Acadia National Park,Hancock,ME,23009,2007,2,35.2,45.4,25.0,-0.04,2.15
acad,Acadia National Park,Hancock,ME,23009,2007,3,56.0,67.5,44.4,-0.47,3.24
acad,Acadia National Park,Hancock,ME,23009,2007,4,53.4,65.1,41.6,-0.5,3.67
